Value,MakeModel
0.03571006612291478,LEXUS-RX 450
0.02926073238680227,CHEVROLET-EQUINOX
0.0371058973584399,HONDA-FIT
0.02749374014030141,FORD-ESCAPE
0.13339287752156545,HYUNDAI-SANTA FE
0.03832947336622697,TOYOTA-PRIUS
0.04842533481019032,HYUNDAI-SONATA
0.04214745074346323,TOYOTA-CAMRY
0.055940086597522906,LEXUS-RX 350
0.03382885241499681,MERCEDES-BENZ-E 350
0.04618148558386198,FORD-TRANSIT
0.01596338065988655,OPEL-VECTRA
0.047144161380189974,TOYOTA-CHR
0.053920484677608835,HYUNDAI-ELANTRA
0.030890813278286845,LEXUS-RX 400
0.0545332460645118,MERCEDES-BENZ-E 220
0.07217420199375693,LEXUS-GX 470
0.03523824388279126,TOYOTA-HIGHLANDER
0.07354133521296949,MERCEDES-BENZ-VITO
0.10405105226059813,PORSCHE-CAYENNE
0.05886698217702145,BMW-X5
0.06367911925620112,JEEP-GRAND CHEROKEE
0.1735709730473601,TOYOTA-CHR LIMITED
0.10062276373644816,HYUNDAI-H1
0.03668247574933709,VOLKSWAGEN-JETTA
0.0474385929580774,TOYOTA-TACOMA
0.05254509448528178,TOYOTA-PRIUS C
0.056752055852045784,TOYOTA-AQUA
0.04620323565938308,FORD-ESCAPE HYBRID
0.1007622931561105,HONDA-CIVIC
0.04160668613432685,AUDI-Q7
0.04883361863524989,RENAULT-MEGANE 1.5CDI
0.043979961735978255,MERCEDES-BENZ-E 300
0.06869294800792132,AUDI-Q5
0.02990108414728292,MERCEDES-BENZ-C 180
0.06660400093981808,MERCEDES-BENZ-GLA 250
0.03697257745107911,NISSAN-JUKE
0.08392444533950928,BMW-535
0.0542827845467056,CHEVROLET-CRUZE LT
0.0329742556976471,FORD-FUSION
0.019891920921021714,TOYOTA-VOXY
0.016976168898734604,MERCEDES-BENZ-A 160
0.10083888832947337,HYUNDAI-TUCSON
0.029102238780921694,TOYOTA-VITZ
0.05947266136340751,CHEVROLET-CAPTIVA
0.12760309468667136,FORD-MUSTANG
0.04954694055650656,MERCEDES-BENZ-ML 350
0.01968892021615816,TOYOTA-YARIS
0.045719799953009094,HONDA-CR-V
0.03935380794146276,CHEVROLET-CRUZE
0.07134088544288927,CHEVROLET-ORLANDO
0.26093713288356324,MERCEDES-BENZ-GL 63 AMG
0.009357902863088645,BMW-520 VANOS
0.032068673849561975,SUBARU-FORESTER
0.023903131608095863,DAEWOO-LACETTI
0.1104118417077837,BMW-428 SPORT LINE
0.0788331151612795,NISSAN-PATROL
0.0397999530090961,MERCEDES-BENZ-E 320
0.06743443090658881,HYUNDAI-GENESIS
0.3345785922867788,PORSCHE-911
0.08998298257980063,LEXUS-GX 460
0.08165528815493572,MERCEDES-BENZ-SPRINTER
0.05003621656093714,FORD-FOCUS SE
0.03802386466619676,KIA-PICANTO
0.0661198268049542,BMW-328
0.2047917967307757,FORD-EXPLORER
0.029300506830463532,MITSUBISHI-AIRTREK
0.039885207934749776,MERCEDES-BENZ-E 500 AMG
0.03065015272043769,MITSUBISHI-LANCER
0.07535786929815728,SSANGYONG-KORANDO
0.040588963850568927,RENAULT-CLIO
0.008675863457859229,MAZDA-616
0.05370154063034941,MERCEDES-BENZ-C 220
0.03121599033329977,NISSAN-SERENA
0.008357667908569127,NISSAN-MAXIMA
0.07789447185580504,TOYOTA-RAV 4
0.042753868358339206,MITSUBISHI-PAJERO
0.032600510186956665,CHEVROLET-VOLT
0.019020776692511662,GMC-TERRAIN
0.021367435303594803,MERCEDES-BENZ-208
0.07988621488269057,HONDA-HR-V EX
0.028617796126606924,FIAT-500
0.03007776994596046,SUBARU-LEGACY
0.05988655053200416,HYUNDAI-ELANTRA SPORT LIMITED
0.06323700198033096,TOYOTA-SIENNA
0.026421642667740747,MERCEDES-BENZ-A 170
0.24597516195079383,LEXUS-NX 300
0.10878343906286711,SSANGYONG-REXTON
0.04409760682039405,KIA-CARNIVAL GRAND
0.018306313563588764,INFINITI-QX60
0.04761695700332293,VOLKSWAGEN-PASSAT
0.02620078541939382,MERCEDES-BENZ-E 240 E 240
0.012036988554358407,MAZDA-1000
0.004249320310139966,AUDI-50
0.07847272849327024,MERCEDES-BENZ-C 250
0.03146376665659719,TOYOTA-VITZ FUNKARGO
0.029405598630550797,BMW-325
0.019542040076528044,AUDI-A6
0.05212408955123687,NISSAN-PATHFINDER
0.049998321753432017,MITSUBISHI-DELICA
0.021792233074883365,VOLKSWAGEN-GOLF
0.019423186654583292,MERCEDES-BENZ-VANEO
0.09494478568791327,TOYOTA-CAMRY SE
0.06620011412076662,NISSAN-PATROL Y60
0.039681435236464946,AUDI-A7
0.042535595609706975,HYUNDAI-I30
0.023542140771322124,NISSAN-ALTIMA
0.012304903836471655,ALFA ROMEO-147
0.034751048904104985,SUZUKI-GRAND VITARA
0.03082207229886215,LEXUS-CT 200H
0.17080633034605444,PORSCHE-PANAMERA
0.054248481186855976,HYUNDAI-VELOSTER
0.1230423253784446,TOYOTA-RAV 4 XLE SPORT
0.04531265733561575,TOYOTA-SIENTA
0.14962266304165409,MERCEDES-BENZ-CLS 550
0.019096767697110058,CHEVROLET-AVALANCHE
0.11725405296546168,TOYOTA-AVALON LIMITED
0.08830597791427516,KIA-CERATO K3
0.006179572382774477,MAZDA-CX-7
0.023906051757124156,OPEL-ASTRA G
0.029790487698452654,TOYOTA-IST
0.03213701204981036,TOYOTA-COROLLA
0.044248279797267816,NISSAN-ROGUE
0.02258607726647199,MAZDA-MPV
0.06170187627966301,BMW-530
0.20593595811096566,LEXUS-GS 350
0.02061893733427315,VOLKSWAGEN-SHARAN
0.02410052696942235,NISSAN-TIIDA
0.05919420669284731,MERCEDES-BENZ-C 300
0.11171469808344243,SSANGYONG-ACTYON
0.0180329943275266,TOYOTA-TUNDRA
0.03702463665961803,NISSAN-ELGRAND
0.0309222636189709,MERCEDES-BENZ-C 350
0.06788641627227873,MERCEDES-BENZ-CLS 500
0.18704393649514986,MERCEDES-BENZ-S 350
0.11567482294498707,TOYOTA-RAV 4 LE
0.03255993018494277,OPEL-ZAFIRA
0.018298828583895546,OPEL-VECTRA B
0.04024549390796496,MERCEDES-BENZ-C 200
0.022985030040613568,OPEL-ASTRA
0.007846373309166583,MAZDA-323
0.0314268452321015,MERCEDES-BENZ-CLK 320
0.08586375994361091,TOYOTA-AVALON
0.2346233343402813,MERCEDES-BENZ-ML 250
0.045924143255127045,BMW-330
0.3367267478938006,AUDI-A7 PRESTIGE
0.003833115161279495,MITSUBISHI-COLT LANCER
0.023148256301815863,BMW-318
0.0636536434732991,MITSUBISHI-OUTLANDER
0.03687047292988286,MERCEDES-BENZ-E 200
0.10932786224952169,MERCEDES-BENZ-GLE 350
0.06163384016379687,CHEVROLET-MALIBU
0.002386466619675763,ACURA-TL
0.021415600980095997,HONDA-INSIGHT
0.023955022991977982,HONDA-STREAM
0.02356929480079213,MITSUBISHI-I
0.025518074715537208,VOLKSWAGEN-GTI
0.022673346088007248,MITSUBISHI-COLT
0.023044003625012587,MITSUBISHI-PAJERO MINI
0.0580663243043668,FORD-C-MAX
0.09811892055180747,BMW-750
0.13672674789380057,TOYOTA-RAV 4 S P O R T
0.111202295841305,MERCEDES-BENZ-E 250
0.031537374551069045,SUBARU-OUTBACK
0.255676400496761,MERCEDES-BENZ-GLC 300
0.037929614338938676,CHEVROLET-LACETTI
0.05714966602893297,LINCOLN-NAVIGATOR
0.07188490585036753,FORD-FUSION TITANIUM
0.034095257275198874,SUZUKI-JIMNY
0.0474833350115799,CHEVROLET-AVEO
0.10903732420367201,BMW-X6
0.03688154935723157,TOYOTA-AQUA S
0.013311851777263116,VAZ-1111
0.09050112442520054,LEXUS-NX 200
0.05251904809854664,GAZ-32214
0.013199979861041185,RENAULT-LAGUNA
0.05250078877588695,KIA-OPTIMA
0.052597355083408855,HONDA-SHUTTLE
0.030662001141207665,MERCEDES-BENZ-C 240
0.14130691773235324,TOYOTA-LAND CRUISER PRADO
0.045148189171953144,BMW-328 XDRIVE
0.028466418286174605,MERCEDES-BENZ-E 240
0.08466099419326688,FORD-TAURUS
0.01045883261168731,RENAULT-TWINGO
0.13672674789380057,BMW-535 M PAKET
0.03672674789380056,MERCEDES-BENZ-S 500 LONG
0.02020394052294163,BMW-520
0.030205685899372337,BMW-525
0.06409559292451247,AUDI-A4 PREMIUM
0.01202128016648206,FORD-GALAXY
0.04346457221494982,SUZUKI-KIZASHI
0.016975866814352366,VOLKSWAGEN-GOLF 4
0.0388211996106468,HONDA-ELEMENT
0.049360588057597424,CITROEN-C1
0.040467190279595874,NISSAN-X-TRAIL
0.031074212063236333,KIA-RIO
0.15246071224784347,LAND ROVER-DISCOVERY
0.013352398214345652,VOLKSWAGEN-VENTO
0.016186688148222737,MERCEDES-BENZ-C 200 2.0
0.27699040042963113,BMW-M6
0.25251569160541065,MERCEDES-BENZ-ML 550 4.7
0.07216685127378913,TOYOTA-COROLLA IM
0.045148189171953144,MERCEDES-BENZ-CLK 240
0.03868311348303293,FORD-FIESTA
0.03840371899439466,MINI-COOPER
0.03472993656227973,OPEL-COMBO
0.03738720504816568,DODGE-CHALLENGER
0.0346222266975464,LEXUS-RX 300
0.025908501997113417,AUDI-A4
0.035136105796663646,BMW-320
0.09251726915718457,LEXUS-RX 400 HYBRID
0.008307320511529553,TOYOTA-COROLLA VERSO
0.02584456080287316,MITSUBISHI-PAJERO IO
0.09725438861477528,BMW-528 I
0.0350566576041352,HONDA-ODYSSEY
0.1137616218574833,MITSUBISHI-L 200
0.03669653945557681,HONDA-INSIGHT EX
0.046202128016648206,FORD-FIESTA 1.6
0.04099003121538616,FORD-FOCUS
0.02783596818044507,NISSAN-TEANA
0.018774342966468634,CHEVROLET-MATIZ
0.034470446077937776,MAZDA-MAZDA 3
0.020639881851441614,OPEL-CORSA
0.035149196119893936,RENAULT-SCENIC
0.03215654683986171,CHEVROLET-SPARK
0.024601013660927065,NISSAN-MARCH
0.20067381599704628,JEEP-WRANGLER
0.08409693552176686,LEXUS-HS 250H HYBRID
0.004447353405162287,DODGE-JOURNEY
0.07778098882287786,HYUNDAI-SONATA SPORT
0.05581848085120666,HYUNDAI-ELANTRA SE
0.13093847548081763,NISSAN-ROGUE SPORT
0.07514852482126674,TOYOTA-AURIS
0.04115513711274461,MERCEDES-BENZ-E 270
0.15251569160541067,TOYOTA-FJ CRUISER
0.014589635149196119,LEXUS-ES 350
0.16182056187695096,BMW-M3
0.09776034639009164,CHEVROLET-IMPALA
0.04022468365052193,KIA-SOUL
0.39356895915147855,MERCEDES-BENZ-S 350 W2222
0.04409760682039405,FIAT-500C LOUNGE
0.032166381364750106,MITSUBISHI-MONTERO
0.051465109253851574,CHEVROLET-CRUZE LTZ
0.05041117040915651,BMW-X5 X5
0.03438300943174571,TOYOTA-IPSUM
0.07418991038163328,MINI-COUNTRYMAN
0.05251904809854664,TOYOTA-COROLLA 04
0.016014231530896518,MERCEDES-BENZ-A 190
0.03319460947202363,MERCEDES-BENZ-SLK 230
0.051465109253851574,NISSAN-ROGUE SL
0.05918504346658611,AUDI-Q3
0.03886211526197429,HYUNDAI-ACCENT
0.016289061188869868,NISSAN-FRONTIER
0.06023287349377371,HYUNDAI-GRANDEUR
0.022517034202665057,SUBARU-STELLA
0.02128912831873259,HONDA-HR-V
0.02672775484174135,TOYOTA-PRIUS 2014
0.05462356929480079,DODGE-DART LIMITED
0.012381532574765885,MAZDA-CX-9
0.02146561272782197,CHRYSLER-200
0.017550263484711174,HONDA-ACCORD
0.111859195112946,JAGUAR-XF
0.05085859094418152,LEXUS-IS 200
0.022254388614775283,LAND ROVER-FREELANDER
0.08501043869365286,JEEP-COMPASS
0.03652898331822911,FORD-TRANSIT CONNECT
0.030902493874400028,SUBARU-XV
0.04409760682039405,TOYOTA-AQUA G SOFT LEATHER SELE
0.031044205014600746,OPEL-MERIVA
0.05748518108280469,TOYOTA-PRIUS V
0.06397140267848152,KIA-SORENTO
0.02278051891383882,BMW-114
0.02199174302688551,TOYOTA-PASSO
0.06366515624475548,LEXUS-ES 300
0.04917232235760078,KIA-SPORTAGE
0.07883395428456348,BMW-320 DIESEL
0.02620078541939382,ISUZU-RODEO
0.05073899909374685,AUDI-A5
0.026183398784949484,NISSAN-VERSA
0.04146443795522438,HONDA-FIT SPORT
0.034520692780183264,KIA-CARNIVAL
0.03146376665659719,HONDA-STEP WAGON PADA
0.060937132883563255,DODGE-DART GT 2.4
0.023044003625012587,ACURA-TLX
0.019020138958815828,MERCEDES-BENZ-E 230
0.11146578055247877,AUDI-A3 PREMIUM
0.09945557681334541,MERCEDES-BENZ-GL 320
0.035324841405699324,FORD-TOURNEO CONNECT
0.15251569160541067,HYUNDAI-KONA
0.06373852918470782,LEXUS-IS 250
0.05289074614842412,BMW-335
0.049360588057597424,MERCEDES-BENZ-CLK 320 AMG
0.03883462558319068,BMW-730 3.0
0.030787433289698924,TOYOTA-ISIS
0.14771983351794046,MERCEDES-BENZ-S 550
0.011149598899070252,MAZDA-1300
0.014948477830362837,DODGE-RAM
0.04946863357164435,NISSAN-X-TERRA
0.0660960628335515,MERCEDES-BENZ-SPRINTER 411
0.020955425771154296,OPEL-SINTRA
0.05035478132447219,MERCEDES-BENZ-E 500
0.2247272849327023,BMW-X5 M
0.10922558990366865,CHEVROLET-CAMARO
0.12978014969959387,MERCEDES-BENZ-CLS 350
0.15251569160541067,FORD-TRANSIT 350T
0.05225388514080489,BMW-435
0.41830631356358877,MERCEDES-BENZ-G 350
0.00827711207330581,MITSUBISHI-OUTLANDER 2.0
0.022546672037055685,VOLKSWAGEN-POLO
0.09142352230389689,JEEP-CHEROKEE
0.08201748732923841,MERCEDES-BENZ-CLA 250
0.03730742120632363,TOYOTA-IST 1.5
0.010530292350552143,VAZ-2107
0.02166136340751183,NISSAN-NOTE
0.01777934414124123,TOYOTA-HARRIER
0.06672842614036854,KIA-CEED
0.21251804115060585,BMW-X6 M
0.01628066995602994,SSANGYONG-KYRON
0.046229248481186855,SKODA-OCTAVIA
0.053042661027758196,TOYOTA-SEQUOIA
0.04567515859430067,MAZDA-MAZDA 3 SPORT
0.15311888698687612,LAND ROVER-RANGE ROVER
0.1131493975094821,HYUNDAI-IX35
0.03357164434598731,NISSAN-TIIDA 2008
0.02197049642533481,MITSUBISHI-MINICA
0.021430033900580674,NISSAN-SENTRA
0.16894982042761722,MERCEDES-BENZ-GL 550
0.03355821837344343,LINCOLN-TOWN CAR
0.019348504682307924,MITSUBISHI-MIRAGE
0.060675326418957475,GMC-YUKON
0.039885207934749776,BMW-325 CI
0.02812596918739301,MERCEDES-BENZ-SMART
0.05988655053200416,TOYOTA-COROLLA LE
0.10659634813546806,BMW-428
0.06203927096969087,HYUNDAI-ELANTRA LIMITED
0.06304501057295338,MERCEDES-BENZ-SPRINTER MAX
0.05988655053200416,TOYOTA-CAMRY S
0.23672674789380055,BMW-X5 3.5
0.04725606686134327,TOYOTA-IPSUM S
0.04725606686134327,MINI-COOPER S CABRIO R56
0.10255962810056053,LEXUS-LS 460
0.010411841707783708,MAZDA-MX-5
0.06872587520558521,VOLKSWAGEN-CRAFTER
0.08620145671802101,TOYOTA-PRIUS PLUGIN
0.034753969053133285,MERCEDES-BENZ-A 140
0.022692780183264524,DAIHATSU-TERIOS
0.062201792367334606,KIA-CADENZA
0.06830799181015675,HYUNDAI-SONATA 2.0T
0.2630450105729534,LAND ROVER-DEFENDER 90 CABRIO
0.03497130198368744,MERCEDES-BENZ-E 280
0.060413519954351694,HYUNDAI-SONATA S
0.09308760447084886,MERCEDES-BENZ-GL 450
0.041539489141744705,MERCEDES-BENZ-B 170
0.05758936662974524,KIA-CERATO
0.055926559930184944,FORD-EDGE
0.021292753331319438,CHRYSLER-PT CRUISER
0.020937804182190448,OPEL-ASTRA 1600
0.06620011412076662,HYUNDAI-SONATA BLUE EDITION
0.130408418084785,MERCEDES-BENZ-CLS 55 AMG
0.02620078541939382,BMW-320 M
0.14304366797569898,MERCEDES-BENZ-SPRINTER VAN
0.02514852482126674,MERCEDES-BENZ-CLK 430
0.026640486020206088,LEXUS-IS 350
0.0588326116873091,HONDA-CIVIC EX
0.043718994394656464,NISSAN-FUGA
0.3788339542845635,MITSUBISHI-PAJERO SPORT
0.09232957406102105,MERCEDES-BENZ-VIANO
0.05291175779545531,LINCOLN-MKZ
0.06689312925855068,BMW-528
0.04725606686134327,CHEVROLET-CRUZE STROCNA
0.12778001543986842,MINI-COUNTRYMAN S
0.028305306615647972,NISSAN-TIIDA AXIS
0.025277347027825327,MERCEDES-BENZ-CLK 200
0.03516842882556305,SUZUKI-SWIFT
0.09909710334642366,CHEVROLET-VOLT PREMIER
0.035855435840633706,LEXUS-HS 250H
0.07357097304736011,LEXUS-CT 200H F-SPORT
0.012336790521263383,FORD-MONDEO
0.018833282985936294,BMW-316 I
0.013920853891853789,BUICK-CENTURY
0.004920618937334273,OPEL-OMEGA 1
0.08593797200684725,MERCEDES-BENZ-E 550
0.0230423253784446,SUBARU-LEGACY B4 TWIN TURBO
0.008788003893532037,DODGE-AVENGER
0.09100419561641997,BMW-740
0.13805128721511764,AUDI-A8
0.004309737186587453,FORD-ESCORT
0.03245460343033599,MAZDA-ATENZA
0.0635013258147887,VOLKSWAGEN-TIGUAN
0.02620078541939382,OPEL-ASTRA BERTONE
0.03935823851240224,HONDA-FIT HBRID
0.05778202933575001,TOYOTA-VERSO
0.06514953176920753,VOLKSWAGEN-GOLF 6
0.03203269224314436,MERCEDES-BENZ-230
0.014097271171080455,NISSAN-BLUEBIRD
0.03146376665659719,BMW-120
0.02725472426408888,MERCEDES-BENZ-CLK 230 .
0.03146376665659719,SUZUKI-LIANA
0.02584556775081395,MERCEDES-BENZ-C 280
0.06058805759742222,TOYOTA-ALPHARD
0.021464773604537978,HONDA-PASSPORT
0.025965830899875808,MITSUBISHI-COLTPLUS
0.10935790286308865,AUDI-A4 S LINE
0.08962095123015473,TOYOTA-CAMRY XLE
0.05126227637364481,HYUNDAI-SONATA HYBRID
0.00189977511495989,FORD-SIERRA
0.04215909777464505,JEEP-LIBERTY
0.027422548920887458,HONDA-FIT ARIA
0.010017453764307052,JAGUAR-F-TYPE
0.033359513979793906,MITSUBISHI-GRANDIS
0.02900792132380089,MERCEDES-BENZ-E 430
0.03935823851240224,HONDA-FIT S
0.024447588359681804,HONDA-INSPIRE
0.19628939683818347,LAND ROVER-LAND ROVER SPORT
0.012985533514583963,TOYOTA-VENZA
0.04352029000100695,MITSUBISHI-RVR
0.017254623569294802,CHRYSLER-TOWN AND COUNTRY
0.029359245460343034,SUBARU-XV LIMITED
0.015674822944987076,MAZDA-PREMACY
0.18093847548081765,TESLA-MODEL X
0.06588594636323969,MERCEDES-BENZ-R 350
0.009623065820830397,BMW-135
0.06234239586480045,TOYOTA-COROLLA S
0.017561742691236195,CHEVROLET-TRAVERSE
0.02100117477259759,MAZDA-DEMIO
0.06336723391400664,VOLKSWAGEN-JETTA GLI
0.18304410431980667,MERCEDES-BENZ-ML 350 4 MATIC
0.0946228979961736,MERCEDES-BENZ-CLK 55 AMG
0.10623055751350989,MAZDA-CX-5
0.013570301748732925,DAIHATSU-YRV
0.06409559292451247,CADILLAC-ALLANTE
0.037755445910113115,MERCEDES-BENZ-C 230
0.021703084617191958,OPEL-COMBO 2001
0.04677189272647937,MERCEDES-BENZ-S 500
0.15778202933575,BMW-540 I
0.0830429966770718,FORD-FUSION PHEV
0.06388581210351425,FIAT-500 ABARTH
0.05341227805189139,BMW-650
0.0024032490853556202,GAZ-24 10
0.015148692645923539,PEUGEOT-206
0.06409559292451247,AUDI-A4 PREMIUM PLIUS
0.078833350115799,MAZDA-MAZDA 6
0.04518309670056725,HONDA-FRED
0.03278119021246602,TOYOTA-ALTEZZA
0.07883395428456348,MERCEDES-BENZ-C 320 CDI
0.011822273688450307,VAZ-2106
0.09365699996643506,BMW-550
0.0830429966770718,FORD-ESCAPE TITANIUM
0.7367267478938005,BENTLEY-CONTINENTAL GT
0.051465109253851574,VOLVO-C30 2010
0.015974826301480213,NISSAN-MICRA
0.12093780418219045,BMW-X5 XDRIVE
0.10051757124156681,BMW-535 I
0.03919937569227671,TOYOTA-ESTIMA
0.28409693552176685,MERCEDES-BENZ-C 200 7G-TRONIC
0.3788339542845635,MERCEDES-BENZ-X 250
0.08409693552176686,IVECO DAYLY-IVECO DAYLY
0.09341120397408788,MERCEDES-BENZ-ML 280
0.3262007854193938,BMW-640 GRAN-COUPE
0.06613701204981036,TOYOTA-CAMRY SPORT
0.03701493639445508,SUBARU-IMPREZA
0.12656358876246096,TOYOTA-HILUX
0.057219246131641664,MERCEDES-BENZ-320
0.012727821971604068,GMC-ACADIA
0.0538331151612795,CHEVROLET-CRUZE PREMIER
0.023631389923807606,VOLKSWAGEN-UP
0.07930930084247978,MITSUBISHI-OUTLANDER SPORT
0.03357164434598731,FIAT-500L LONG
0.0027808545631524185,FORD-RANGER
0.0348706071896083,JAGUAR-XJ
0.02830641425838284,SUZUKI-XL7
0.06497388648340213,VOLKSWAGEN-PASSAT SEL
0.022518712449233043,HONDA-FIT HIBRID
0.05041117040915651,HAVAL-H6
0.05514886047058034,VOLKSWAGEN-CC R LINE
0.08041318430503809,MAZDA-MAZDA 6 TOURING
0.25778202933575,MERCEDES-BENZ-CLA 45 AMG
0.021366092706340416,DODGE-DURANGO
0.03549229684825294,DODGE-CALIBER
0.04547447386970093,NISSAN-MURANO
0.02841607088913503,FORD-TRANSIT CL
0.02778169368643641,BMW-523
0.051465109253851574,BMW-320 I
0.0012016245426778101,CHRYSLER-SEBRING
0.05778202933575001,FORD-ESCAPE 3.0
0.0211723894874635,DODGE-RAMCHARGER
0.05778202933575001,MERCEDES-BENZ-C 36 AMG
0.024096264223139662,FORD-TRANSIT FFF
0.3181838015641258,LEXUS-LX 570
0.013148054912227704,DAEWOO-GENTRA
0.01862249521699728,BMW-316
0.008612761386902965,FIAT-CINQUECENTO
0.02541033128587252,HONDA-PILOT
0.04519853656899272,BMW-5.30E 62
0.05567415164635988,VOLKSWAGEN-CC 2.0 T
0.0588326116873091,SUBARU-BRZ
0.017990971033464236,SUZUKI-SX4
0.03825428791998121,VOLKSWAGEN-TOUAREG
0.012078340549793575,CHEVROLET-1500
0.20777951196589803,MERCEDES-BENZ-GLE 63 AMG
0.028305306615647972,JEEP-GRAND CHEROKEE SAIUBILEO
0.045148189171953144,MERCEDES-BENZ-SMART FORTWO
0.024863122209915083,NISSAN-SKYLINE
0.041593662940959286,FIAT-500 SPORT
0.06554391971268418,VOLKSWAGEN-GOLF TDI
0.024096264223139662,MAZDA-DEMIO EVROPULI
0.22784929345819488,TOYOTA-LAND CRUISER
0.06742187762226026,BMW-X3
0.061991071728258317,MERCEDES-BENZ-CLS 550 550
0.08251770550129225,CHEVROLET-EQUINOX LT
0.07093948242875843,MITSUBISHI-OUTLANDER SE
0.05462356929480079,MERCEDES-BENZ-E 270 AVANGARDI
0.023044003625012587,NISSAN-WINGROAD
0.0819924143255127,VOLKSWAGEN-PASSAT R-LINE
